# 来自 rime_kaomoji_dict (https://github.com/aoguai/rime_kaomoji_dict)
# 整理为不重复的 关键词<TAB>颜文字；同一关键词可对应多个颜文字
niu er duo	<( ‵□′)>───Ｃε(┬﹏┬)3
捏耳朵	<( ‵□′)>───Ｃε(┬﹏┬)3
nie lian	<( ‵□′)───C＜─___-)||
捏脸	<( ‵□′)───C＜─___-)||
chuai	<( ￣^￣)(θ(θ☆( >_<
t	<( ￣^￣)(θ(θ☆( >_<
ti	<( ￣^￣)(θ(θ☆( >_<
踹	<( ￣^￣)(θ(θ☆( >_<
mo mo	<( ￣︶￣)╱(._. )
she ji	<(!=￣□￣)ｏ―∈‥oo━━━━━━━☆
lei hua	<(%>_<%)>
mie h ha ha	<(*￣▽￣*)/
咩哈哈	<(*￣▽￣*)/
lai ya	<(*￣ー￣)ゞ来呀~[挑衅]
lai a	<(*￣ー￣)ゞ来啊~[挑衅]
tiao xin	<(*￣ー￣)ゞ来啊~[挑衅]
de se	<(= *︾▽︾)
ho	<(= `０‘)ノ
jia you	<(= o^_^)o~|| 加油 ||~o(^_^o =)>
emo	<(= ‵▽′)ψ
gong ji	<(= ￣O￣=)ノノ……∞∞OOO)))
yo	<(= ￣y▽￣)╭
o	<(='_'=)?>
yan mian	<(=*/ω＼*=)>
shen shou	<(=*^-^)ρ
